joueurId(Number);tour(Number);texteCoordCase(String);natureFond(String);estEnregistre(Boolean);estMemorise(Boolean);dicoEspeceQt(nil)
3;10;41°19',10°11';sable;false;false;Dictionary (#Seiche->0.6 #Sole->0.4 #Merlu->1.3 )
2;10;40°53',10°11';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
2;11;40°59',10°11';sable;true;false;Dictionary (#Seiche->0.5 #Sole->0.2 #Merlu->1.1 )
3;11;41°57',10°20';rocher;true;false;Dictionary (#Merlu->2.9 #Bar->0.4 )
1;11;41°10',10°23';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->1.2 )
3;11;42°0',10°23';rocher;true;false;Dictionary (#Merlu->2.8 #Bar->0.4 )
1;11;41°16',10°20';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->1.1 )
2;11;42°0',10°8';rocher;true;false;Dictionary (#Merlu->1.0 #Bar->0.1 )
3;11;41°57',10°8';rocher;true;false;Dictionary (#Merlu->2.7 #Bar->0.4 )
1;11;41°30',10°17';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Bar->0.6 #Merlu->1.1 )
2;11;41°57',10°5';rocher;true;false;Dictionary (#Merlu->1.0 #Bar->0.1 )
1;12;41°30',10°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.5 )
3;12;41°5',12°20';sable;false;false;Dictionary (#Seiche->1.4 #Sole->0.5 #Merlu->2.6 )
2;12;41°54',10°20';rocher;false;false;Dictionary (#Merlu->0.5 )
1;12;41°8',10°23';vase;false;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.5 )
3;12;41°10',11°47';vase;false;false;Dictionary (#Seiche->1.3 #Sole->0.5 #Merlu->2.5 )
2;12;41°28',10°14';vase;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
1;12;41°8',10°20';vase;false;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.5 )
2;12;41°19',10°11';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.4 )
1;14;41°28',10°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->0.6 )
1;14;41°28',10°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->0.6 )
3;14;41°10',11°2';rocher;false;false;Dictionary (#Merlu->1.5 #Bar->0.2 )
3;14;41°10',11°2';rocher;false;false;Dictionary (#Merlu->1.5 #Bar->0.2 )
2;14;40°53',10°11';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
2;14;40°53',10°11';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
2;14;40°50',10°11';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
2;14;40°50',10°11';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
1;14;41°33',10°8';sable;false;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.6 )
3;14;41°16',10°29';vase;false;false;Dictionary (#Seiche->0.7 #Sole->0.4 #Merlu->1.4 )
3;14;41°16',10°29';vase;false;false;Dictionary (#Seiche->0.7 #Sole->0.4 #Merlu->1.4 )
1;14;41°33',10°8';sable;false;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.6 )
3;14;41°19',10°11';sable;false;false;Dictionary (#Seiche->0.4 #Sole->0.3 #Merlu->0.9 )
3;14;41°19',10°11';sable;false;false;Dictionary (#Seiche->0.2 #Sole->0.1 #Merlu->0.5 )
1;14;41°33',10°11';vase;false;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.6 )
1;14;41°33',10°11';vase;false;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.6 )
2;14;40°53',10°11';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
2;14;40°53',10°11';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
3;16;41°5',12°20';sable;false;false;Dictionary (#Seiche->1.6 #Sole->0.5 #Merlu->2.6 )
1;16;41°30',10°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->0.5 )
1;16;41°30',10°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->0.5 )
3;16;41°5',12°20';sable;false;false;Dictionary (#Seiche->1.6 #Sole->0.5 #Merlu->2.5 )
2;16;41°54',10°20';rocher;false;false;Dictionary (#Merlu->0.5 )
2;16;41°54',10°20';rocher;false;false;Dictionary (#Merlu->0.5 )
3;16;41°10',11°47';vase;false;false;Dictionary (#Seiche->0.2 #Sole->0.1 #Merlu->0.4 )
1;16;41°8',10°23';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->0.5 )
2;16;41°28',10°14';vase;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.4 )
2;16;41°28',10°14';vase;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.4 )
1;16;41°8',10°23';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->0.5 )
3;16;41°10',11°47';vase;false;false;Dictionary (#Seiche->0 #Sole->0 #Merlu->0 )
1;16;41°8',10°20';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->0.5 )
1;16;41°8',10°20';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->0.5 )
2;16;41°19',10°11';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.4 )
2;16;41°19',10°11';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.4 )
