joueurId(Number);tour(Number);texteCoordCase(String);natureFond(String);estEnregistre(Boolean);estMemorise(Boolean);dicoEspeceQt(nil)
2;1;41°48',10°14';rocher;true;true;Dictionary (#Merlu->1.2 #Bar->0.1 )
1;1;41°10',10°20';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->1.4 )
3;1;41°2',10°53';rocher;true;false;Dictionary (#Merlu->3.2 #Bar->0.4 )
1;1;41°8',10°14';sable;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->1.3 )
2;1;42°0',10°11';rocher;true;true;Dictionary (#Merlu->1.2 #Bar->0.1 )
3;1;41°8',10°38';vase;true;true;Dictionary (#Seiche->1.3 #Sole->0.3 #Merlu->3.1 )
2;1;41°36',10°11';rocher;true;false;Dictionary (#Merlu->1.1 #Bar->0.1 )
3;1;41°19',10°20';vase;true;false;Dictionary (#Seiche->1.3 #Sole->0.3 #Merlu->3.0 )
1;1;41°16',10°14';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->1.2 )
2;2;40°59',10°11';sable;true;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
3;2;41°51',10°26';rocher;true;false;Dictionary (#Merlu->1.4 )
1;2;41°30',10°11';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.6 )
2;2;40°59',10°17';sable;true;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
3;2;41°48',10°50';sable;true;false;Dictionary (#Seiche->0.8 #Sole->0.3 #Merlu->1.4 )
1;2;41°33',10°17';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.6 )
2;2;41°42',10°17';rocher;true;false;Dictionary (#Merlu->0.5 )
1;2;41°33',10°14';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.6 )
1;3;41°10',10°11';sable;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->1.1 )
2;3;41°57',10°14';rocher;true;false;Dictionary (#Merlu->1.0 #Bar->0.1 )
3;3;41°42',10°47';sable;true;false;Dictionary (#Seiche->1.3 #Sole->0.3 #Merlu->2.7 )
3;3;41°42',10°47';sable;true;false;Dictionary (#Seiche->1.3 #Sole->0.3 #Merlu->2.6 )
3;3;41°42',10°47';sable;true;false;Dictionary (#Seiche->1.2 #Sole->0.3 #Merlu->2.5 )
1;3;41°8',10°11';sable;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->1.0 )
1;3;41°8',10°14';sable;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->1.0 )
2;3;42°3',10°8';rocher;true;false;Dictionary (#Merlu->0.9 #Bar->0.1 )
2;3;42°0',10°8';rocher;true;false;Dictionary (#Merlu->0.9 #Bar->0.1 )
2;4;41°19',10°8';sable;true;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.4 )
2;4;41°19',10°11';sable;true;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.4 )
1;4;41°2',10°17';sable;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.5 )
3;4;41°45',11°32';vase;true;false;Dictionary (#Seiche->0.7 #Sole->0.3 #Bar->0.4 #Merlu->2.3 )
3;4;41°45',11°32';vase;true;true;Dictionary (#Seiche->0.7 #Sole->0.3 #Bar->0.4 #Merlu->2.3 )
1;4;40°59',10°17';sable;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.5 )
3;4;41°36',11°41';sable;true;false;Dictionary (#Seiche->1.4 #Sole->0.4 #Merlu->2.2 )
2;4;41°13',10°11';sable;true;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.4 )
1;4;41°22',10°5';sable;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.4 )
2;5;41°10',10°11';sable;true;true;Dictionary (#Seiche->0.5 #Sole->0.2 #Merlu->1.2 )
1;5;41°30',10°17';vase;true;true;Dictionary (#Seiche->0 #Sole->0.1 #Bar->0.7 #Merlu->1.3 )
3;5;41°36',11°41';sable;true;false;Dictionary (#Seiche->0.9 #Sole->0.3 #Merlu->3.1 )
2;5;41°8',10°11';sable;true;false;Dictionary (#Seiche->0.5 #Sole->0.2 #Merlu->1.1 )
2;5;41°8',10°14';sable;true;false;Dictionary (#Seiche->0.5 #Sole->0.2 #Merlu->1.1 )
3;5;41°33',11°23';rocher;true;false;Dictionary (#Merlu->2.9 )
1;5;41°33',10°17';vase;true;true;Dictionary (#Seiche->0 #Sole->0.1 #Bar->0.7 #Merlu->1.2 )
3;5;41°42',10°23';rocher;true;false;Dictionary (#Merlu->2.8 #Bar->0.4 )
1;5;41°33',10°5';sable;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Bar->0.7 #Merlu->1.1 )
2;6;40°53',10°11';sable;true;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
3;6;41°10',11°2';rocher;true;false;Dictionary (#Merlu->1.4 #Bar->0.2 )
2;6;40°50',10°11';sable;true;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
2;6;40°53',10°11';sable;true;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
2;6;40°50',10°11';sable;true;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
1;6;41°28',10°17';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.5 )
2;6;41°10',10°11';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
3;6;41°16',10°29';vase;true;false;Dictionary (#Seiche->0.7 #Sole->0.4 #Merlu->1.3 )
1;6;41°33',10°8';sable;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.5 )
3;6;41°19',10°11';sable;true;false;Dictionary (#Seiche->0.7 #Sole->0.3 #Merlu->1.3 )
1;6;41°33',10°11';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.5 )
2;7;42°0',10°11';rocher;true;false;Dictionary (#Merlu->1.1 #Bar->0.1 )
1;7;41°33',10°17';vase;true;true;Dictionary (#Seiche->0 #Sole->0.1 #Bar->0.7 #Merlu->1.2 )
3;7;41°30',11°11';vase;true;false;Dictionary (#Seiche->1.2 #Sole->0.3 #Merlu->2.9 )
1;7;41°33',10°14';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Bar->0.7 #Merlu->1.2 )
2;7;42°0',10°14';rocher;true;false;Dictionary (#Merlu->1.0 #Bar->0.1 )
1;7;41°33',10°11';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Bar->0.7 #Merlu->1.1 )
2;7;42°0',10°5';rocher;true;false;Dictionary (#Merlu->1.0 #Bar->0.1 )
3;7;41°33',10°47';sable;true;false;Dictionary (#Seiche->1.2 #Sole->0.3 #Merlu->2.7 )
3;7;41°36',10°20';vase;true;false;Dictionary (#Seiche->1.0 #Sole->0.3 #Bar->0.4 #Merlu->2.6 )
1;8;41°30',10°17';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.5 )
2;8;41°54',10°20';rocher;true;false;Dictionary (#Merlu->0.5 )
1;8;41°8',10°23';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.5 )
3;8;41°5',12°20';sable;true;false;Dictionary (#Seiche->1.3 #Sole->0.5 #Merlu->2.5 )
2;8;41°28',10°14';vase;true;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
2;8;41°19',10°11';sable;true;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
1;8;41°8',10°20';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.5 )
3;8;41°10',11°47';vase;true;false;Dictionary (#Seiche->1.3 #Sole->0.4 #Merlu->2.4 )
2;9;41°30',10°17';vase;true;false;Dictionary (#Seiche->0.5 #Sole->0.2 #Bar->0.1 #Merlu->1.1 )
1;9;41°30',10°17';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Bar->0.7 #Merlu->1.3 )
2;9;41°28',10°17';vase;true;false;Dictionary (#Seiche->0.5 #Sole->0.2 #Bar->0.1 #Merlu->1.1 )
1;9;41°33',10°17';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Bar->0.7 #Merlu->1.2 )
3;9;41°5',11°8';rocher;true;true;Dictionary (#Merlu->2.9 #Bar->0.4 )
2;9;41°28',10°11';vase;true;false;Dictionary (#Seiche->0.5 #Sole->0.2 #Bar->0.1 #Merlu->1.1 )
1;9;41°33',10°14';vase;true;false;Dictionary (#Seiche->0 #Sole->0.1 #Bar->0.6 #Merlu->1.2 )
3;9;41°5',10°29';vase;true;false;Dictionary (#Seiche->1.1 #Sole->0.3 #Merlu->2.8 )
3;9;41°5',10°14';sable;true;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Merlu->1.7 )
1;10;41°28',10°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.6 )
2;10;40°53',10°11';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
3;10;41°10',11°2';rocher;false;false;Dictionary (#Merlu->1.3 #Bar->0.2 )
1;10;41°33',10°8';sable;false;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.5 )
2;10;40°50',10°11';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.2 #Merlu->0.5 )
3;10;41°16',10°29';vase;false;false;Dictionary (#Seiche->0.6 #Sole->0.4 #Merlu->1.3 )
1;10;41°33',10°11';vase;false;false;Dictionary (#Seiche->0 #Sole->0.1 #Merlu->0.5 )
