id(Number);engin(nil);nomNavire(nil)
1;a CormasNS.Models.FiShcope.GrandFileyeur;Text for 'Petit Nantais'
2;a CormasNS.Models.FiShcope.GrandFileyeur;Text for 'Le Garonne'
