joueurId(Number);tour(Number);carburant_consomme(Number);charges_carburant(Number);charges_salaire(Number);charges_autres(Number);charges_taxe(Number);produit(Number);remarques(String);dicoEspecePrix(nil);estLabellise(Boolean)
nil;1;796.8;359;65434;29082;14541;145409;;Dictionary (#Sole->17.72 #Bar->22.5 #Seiche->4.19 #Merlu->2.75 );false
1;2;796.8;359;39967;17763;8882;88816;;Dictionary (#Sole->14.74 #Bar->13.59 #Seiche->3.78 #Merlu->3.3 );false
1;3;249.0;112;47049;20911;10455;104554;;Dictionary (#Sole->17.92 #Bar->21.99 #Seiche->3.4 #Merlu->3.2 );false
1;4;199.2;90;27316;12140;6070;60702;;Dictionary (#Sole->17.2 #Bar->10.5 #Seiche->3.18 #Merlu->2.67 );false
1;5;199.2;90;46418;20630;10315;103150;;Dictionary (#Sole->17.69 #Bar->20.42 #Seiche->3.4 #Merlu->2.88 );false
1;6;348.6;157;35559;15804;7902;79020;;Dictionary (#Sole->15.3 #Bar->10.5 #Seiche->3.15 #Merlu->2.5 );false
1;7;199.2;90;50692;22530;11265;112648;;Dictionary (#Sole->17.57 #Bar->20.42 #Seiche->3.4 #Merlu->3.2 );false
1;8;249.0;112;12196;6200;2710;27102;;Dictionary (#Sole->16.6 #Bar->10.5 #Seiche->3.18 #Merlu->2.61 );false
