id(Number);engin(nil);nomNavire(nil)
1;a CormasNS.Models.FiShcope.PetitFileyeur;Text for ''
2;a CormasNS.Models.FiShcope.GrandChalutier;Text for 'RACLEUR'
3;a CormasNS.Models.FiShcope.GrandFileyeur;Text for ''
