joueurId(Number);tour(Number);caseId(String);natureFond(String);bathymetrie(String);estEnregistre(Boolean);estMemorise(Boolean);type(Symbol)
2;2;W25;vase;plateau;true;false;FouDeBassan
2;2;Y27;rocher;plateau;true;false;Dauphin
2;2;X28;rocher;plateau;true;false;NavireEspagnol
2;2;X29;rocher;plateau;true;false;FouDeBassan
2;2;Z30;rocher;plateau;true;false;FouDeBassan
2;2;X31;rocher;plateau;true;false;Dauphin
2;2;Y34;vase;plateau;true;false;FouDeBassan
2;2;X34;vase;plateau;true;false;FouDeBassan
2;2;Z36;vase;plateau;true;false;FouDeBassan
2;2;W38;vase;plateau;true;false;FouDeBassan
2;2;V39;vase;plateau;true;false;FouDeBassan
2;2;T40;vase;plateau;true;false;FouDeBassan
2;2;U42;vase;plateau;true;false;Dauphin
2;2;S43;vase;cote;true;false;FouDeBassan
2;2;Q42;vase;plateau;true;false;Dauphin
2;2;S44;vase;cote;true;false;FouDeBassan
2;2;S44;vase;cote;true;false;Dauphin
