joueurId(Number);tour(Number);texteCoordCase(String);natureFond(String);estEnregistre(Boolean);estMemorise(Boolean);dicoEspeceQt(nil)
1;10;40°59',11°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.3 #Bar->1.2 #Merlu->2.8 )
1;10;41°51',10°50';vase;false;false;Dictionary (#Seiche->0 #Sole->0.3 #Merlu->1.3 )
2;10;41°28',10°14';vase;false;false;Dictionary (#Seiche->0.4 #Sole->0.2 #Merlu->0.5 )
2;10;41°30',10°11';vase;false;false;Dictionary (#Seiche->0.4 #Sole->0.2 #Merlu->0.5 )
1;10;41°33',10°14';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->1.3 )
1;11;41°36',11°59';sable;false;false;Dictionary (#Seiche->0 #Sole->0 #Merlu->3.2 )
2;11;41°42',10°14';rocher;false;false;Dictionary (#Merlu->1.1 #Bar->0.1 )
2;11;41°39',10°17';rocher;false;false;Dictionary (#Merlu->1.1 #Bar->0.1 )
1;11;40°59',11°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->1.3 #Merlu->3.0 )
2;11;41°33',10°11';vase;false;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Bar->0.1 #Merlu->1.0 )
1;11;40°53',10°14';sable;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->2.9 )
1;12;40°53',10°14';sable;false;false;Dictionary (#Seiche->0 #Sole->0.3 #Merlu->1.4 )
2;12;40°59',10°17';sable;false;false;Dictionary (#Seiche->0.4 #Sole->0.2 #Merlu->0.5 )
2;12;41°13',10°14';vase;false;false;Dictionary (#Seiche->0.4 #Sole->0.2 #Merlu->0.5 )
1;12;40°53',10°20';vase;false;false;Dictionary (#Seiche->0 #Sole->0.3 #Merlu->1.4 )
1;12;41°19',10°50';sable;false;false;Dictionary (#Seiche->0 #Sole->0.3 #Merlu->1.3 )
2;12;41°28',10°8';sable;false;false;Dictionary (#Seiche->0.4 #Sole->0.2 #Merlu->0.5 )
1;13;40°59',11°17';vase;false;false;Dictionary (#Seiche->0.1 #Sole->0.2 #Bar->1.4 #Merlu->3.2 )
2;13;41°33',10°11';vase;false;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Bar->0.1 #Merlu->1.1 )
2;13;41°33',10°14';vase;false;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Bar->0.1 #Merlu->1.1 )
1;13;40°59',11°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->1.3 #Merlu->3.0 )
1;13;40°53',12°20';vase;false;false;Dictionary (#Seiche->0 #Sole->0 #Merlu->2.9 )
2;13;41°33',10°8';sable;false;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Bar->0.1 #Merlu->1.0 )
2;14;41°22',10°11';vase;false;false;Dictionary (#Seiche->0.4 #Sole->0.2 #Merlu->0.5 )
1;14;40°59',11°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.3 #Bar->1.2 #Merlu->2.7 )
1;14;41°51',10°50';vase;false;false;Dictionary (#Seiche->0 #Sole->0.3 #Merlu->1.3 )
2;14;41°28',10°14';vase;false;false;Dictionary (#Seiche->0.4 #Sole->0.2 #Merlu->0.5 )
1;14;41°33',10°14';vase;false;false;Dictionary (#Seiche->0 #Sole->0.3 #Merlu->1.3 )
2;14;41°30',10°11';vase;false;false;Dictionary (#Seiche->0.4 #Sole->0.2 #Merlu->0.4 )
1;15;41°36',11°59';sable;false;false;Dictionary (#Seiche->0 #Sole->0 #Merlu->3.2 )
2;15;41°42',10°14';rocher;false;false;Dictionary (#Merlu->1.1 #Bar->0.1 )
1;15;40°59',11°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->1.3 #Merlu->3.1 )
2;15;41°39',10°17';rocher;false;false;Dictionary (#Merlu->1.0 #Bar->0.1 )
1;15;40°53',10°14';sable;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->2.9 )
2;15;41°33',10°11';vase;false;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Bar->0.1 #Merlu->1.0 )
2;17;41°33',10°11';vase;false;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Bar->0.1 #Merlu->1.0 )
2;17;41°33',10°11';vase;false;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Bar->0.1 #Merlu->1.0 )
1;17;40°59',11°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->1.2 #Merlu->2.7 )
1;17;40°59',11°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->1.1 #Merlu->2.6 )
1;17;40°59',11°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->1.0 #Merlu->2.5 )
2;17;41°33',10°14';vase;false;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Bar->0.1 #Merlu->0.9 )
2;17;41°33',10°14';vase;false;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Bar->0.1 #Merlu->0.9 )
1;17;40°59',11°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->0.9 #Merlu->2.4 )
1;17;40°53',12°20';vase;false;false;Dictionary (#Seiche->0 #Sole->0 #Merlu->2.3 )
1;17;40°53',12°20';vase;false;false;Dictionary (#Seiche->0 #Sole->0 #Merlu->2.2 )
2;17;41°33',10°8';sable;false;false;Dictionary (#Seiche->0.4 #Sole->0.1 #Bar->0 #Merlu->0.6 )
2;17;41°33',10°8';sable;false;false;Dictionary (#Seiche->0.3 #Sole->0.1 #Bar->0 #Merlu->0.3 )
1;19;41°36',11°59';sable;false;false;Dictionary (#Seiche->0 #Sole->0 #Merlu->2.1 )
2;19;41°42',10°14';rocher;false;false;Dictionary (#Merlu->0.7 #Bar->0.1 )
1;19;41°36',11°59';sable;false;false;Dictionary (#Seiche->0 #Sole->0 #Merlu->2.0 )
2;19;41°42',10°14';rocher;false;false;Dictionary (#Merlu->0.7 #Bar->0.1 )
1;19;40°59',11°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->0.8 #Merlu->1.9 )
1;19;40°59',11°17';vase;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Bar->0.8 #Merlu->1.8 )
2;19;41°39',10°17';rocher;false;false;Dictionary (#Merlu->0.6 #Bar->0 )
2;19;41°39',10°17';rocher;false;false;Dictionary (#Merlu->0.6 #Bar->0 )
1;19;40°53',10°14';sable;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->1.7 )
2;19;41°33',10°11';vase;false;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Bar->0 #Merlu->0.6 )
2;19;41°33',10°11';vase;false;false;Dictionary (#Seiche->0.6 #Sole->0.2 #Bar->0 #Merlu->0.6 )
1;19;40°53',10°14';sable;false;false;Dictionary (#Seiche->0 #Sole->0.2 #Merlu->1.6 )
