id(Number);engin(nil);nomNavire(nil)
1;a CormasNS.Models.FiShcope.GrandChalutier;Text for 'FOSSOYEUR'
2;a CormasNS.Models.FiShcope.PetitFileyeur;Text for 'La Licorne'
